						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
163			2567   				70				0				93				93
164			2249   				30				32				102				134
164			2726   				91				71				2				73
164			2565   				70				92				2				94
164			2720   				90				0				74				74
165			288   				39				24				102				126
166			2261   				31				6				129				135
166			2562   				70				94				2				96
166			2554   				69				0				97				97
167			624   				86				22				59				81
167			242   				33				18				116				134
167			971   				133				19				15				34
167			2706   				89				0				78				78
167			2700   				88				0				79				79
167			2546   				68				0				99				99
167			969   				133				31				3				34
168			628   				87				21				60				81
168			2231   				29				128				11				139
169			2459   				55				23				91				114
169			2573   				71				47				51				98
169			2551   				69				98				2				100
169			2534   				67				0				102				102
170			2697   				88				80				2				82
170			2540   				68				100				2				102
171			2969   				122				8				41				49
171			2695   				88				82				1				83
171			2688   				86				0				85				85
171			2525   				65				0				106				106
172			2348   				40				77				55				132
172			2530   				67				2				103				105
172			2528   				67				103				2				105
173			2702   				88				8				77				85
173			2365   				44				49				80				129
173			2488   				61				111				1				112
174			970   				133				25				16				41
174			2642   				79				11				84				95
174			2485   				61				111				2				113
174			2456   				55				0				119				119
174			2684   				86				86				2				88
175			696   				93				26				56				82
175			289   				39				25				111				136
175			2267   				33				12				130				142
175			2442   				54				0				121				121
175			2436   				53				0				122				122
176			298   				41				24				111				135
176			307   				41				25				110				135
176			292   				39				25				112				137
176			153   				20				9				147				156
176			2661   				83				2				91				93
176			36   				8				2				166				168
177			2440   				54				121				2				123
178			15   				4				1				173				174
178			2809   				100				10				68				78
178			2680   				84				18				76				94
178			2426   				52				0				126				126
179			2465   				57				8				114				122
179			2430   				53				124				2				126
179			2398   				48				2				129				131
179			2649   				81				1				97				98
180			323   				43				28				109				137
180			2307   				36				53				91				144
180			2394   				47				0				133				133
180			2389   				47				0				133				133
180			2644   				79				1				100				101
181			2763   				94				77				10				87
181			2383   				46				0				135				135
181			2381   				46				0				135				135
182			86   				13				4				165				169
182			302   				41				24				117				141
182			2640   				79				102				1				103
182			2387   				47				133				2				135
183			769   				101				28				54				82
183			352   				45				27				111				138
183			967   				132				0				51				51
183			497   				67				27				89				116
183			2635   				78				0				105				105
184			123   				18				58				108				166
184			2880   				112				60				12				72
184			2379   				46				136				2				138
185			733   				98				27				60				87
185			2759   				94				42				49				91
185			2486   				61				84				40				124
185			2377   				46				138				1				139
185			2374   				46				138				1				139
186			81   				13				3				170				173
187			949   				130				0				57				57
187			572   				78				26				83				109
187			2285   				34				99				54				153
187			2629   				78				106				3				109
188			251   				35				18				135				153
188			2560   				69				38				81				119
188			2981   				124				42				22				64
188			2364   				44				142				2				144
188			2358   				43				0				145				145
188			2352   				43				0				145				145
189			2251   				30				124				35				159
189			2622   				77				0				112				112
190			460   				61				28				101				129
190			922   				123				0				67				67
190			2393   				47				12				131				143
190			2732   				91				0				99				99
190			2337   				39				0				151				151
190			2332   				39				0				151				151
190			2326   				38				0				152				152
191			2310   				37				0				154				154
192			711   				95				25				72				97
192			273   				37				25				130				155
192			2592   				73				76				43				119
192			2620   				77				113				2				115
192			2320   				38				0				154				154
192			2612   				76				0				116				116
192			2286   				35				0				157				157
193			507   				68				27				98				125
193			944   				127				1				65				66
